cancel,REQUEST,8.047403244333035,1.9308620440154307E7
cancel,COMPLAINT,8.00644188670197,5.757822265983006E7
tds,COMPLAINT,8.411906994810135,2.155006865345993E7
half,REQUEST,7.200105383945831,4135818.484482391
half,COMPLAINT,8.257756314982876,1.1110818656022185E8
kamble,COMPLAINT,8.411906994810135,2.155006865345993E7
spoke,REQUEST,9.146015533001146,2.8912817133667976E7
shameonyouhdfc,COMPLAINT,8.411906994810135,2.155006865345993E7
accountmay,COMPLAINT,8.411906994810135,2.155006865345993E7
fifty,COMPLAINT,8.411906994810135,2.155006865345993E7
licici,MISCELLANEOUS,9.892842863024715,5.202312352530566E7
withdrawn,COMPLAINT,8.411906994810135,6.47060110583171E7
abrupt,COMPLAINT,8.411906994810135,2.155006865345993E7
quickest,COMPLIMENT,10.27289825560751,7.301327012506112E7
disapproval,COMPLAINT,8.411906994810135,2.155006865345993E7
owners,REQUEST,9.146015533001146,2.8912817133667976E7
salary,REQUEST,6.437965331898935,3892212.01576308
salary,SUGGESTION,7.575658970609515,4767982.603641771
salary,COMPLAINT,8.306546479152308,5.302720637894684E8
pretend,COMPLAINT,8.411906994810135,2.155006865345993E7
withdrawl,COMPLAINT,8.411906994810135,4.311873098134044E7
roip,COMPLAINT,8.411906994810135,2.155006865345993E7
approved,REQUEST,6.661108883213145,2415207.6408868576
approved,COMPLAINT,8.324895617820504,2.1832334489127362E8
ccr,COMPLAINT,8.411906994810135,2.155006865345993E7
would,REQUEST,7.570479172242726,7.35322516836564E7
would,MISCELLANEOUS,5.832399852478295,914262.4255279038
would,COMPLIMENT,7.598749606180982,2.0629875835864987E7
would,SUGGESTION,8.862323490780565,1.2243042957730636E8
would,COMPLAINT,7.877824508879876,4.402003327825788E8
kiran,COMPLAINT,8.411906994810135,4.311873098134044E7
pick,REQUEST,8.047403244333035,9641810.034207394
pick,COMPLAINT,8.00644188670197,2.875183582970366E7
installments,SUGGESTION,10.283709171711726,7.072350725418575E7
installments,COMPLAINT,7.718759814250189,1.0774891599022333E7
teh,SUGGESTION,10.976856352271671,1.4139085323415703E8
kannad,COMPLAINT,8.411906994810135,2.155006865345993E7
tel,REQUEST,9.146015533001146,2.8912817133667976E7
customr,COMPLAINT,8.411906994810135,2.155006865345993E7
ten,COMPLAINT,8.411906994810135,2.155006865345993E7
pics,MISCELLANEOUS,9.892842863024715,5.202312352530566E7
sake,REQUEST,9.146015533001146,2.8912817133667976E7
successfully,COMPLAINT,8.411906994810135,2.155006865345993E7
$,REQUEST,8.357558172636875,6.597864223951785E7
$,MISCELLANEOUS,7.494947590226343,4745057.499515093
$,COMPLAINT,7.623449634445864,4.9163309278586976E7
counters,SUGGESTION,10.976856352271671,1.4139085323415703E8
%,COMPLIMENT,8.326988106552196,1.0453187866680646E7
%,COMPLAINT,8.257756314982876,1.1110818656022185E8
&,REQUEST,6.312802188944929,1706729.9097575152
&,SUGGESTION,9.529937369335345,1.3398338128244936E8
&,COMPLAINT,8.063600300541918,1.8377591719756866E8
cdh,REQUEST,9.146015533001146,2.8912817133667976E7
(,REQUEST,5.31737413651205,634839.6581095709
(,COMPLIMENT,6.444256859118415,1613624.366872327
(,SUGGESTION,7.841362136342521,1.2528730621307097E7
(,COMPLAINT,8.320935216604408,8.427161360163522E8
),REQUEST,6.133753957495943,4361086.700176079
),COMPLIMENT,6.855171571994144,4904904.127691789
),SUGGESTION,7.559129668658305,9508191.006164229
),COMPLAINT,8.290017177201097,1.0574645940347917E9
asapdd,COMPLAINT,8.411906994810135,2.155006865345993E7
investment,MISCELLANEOUS,9.48737775491655,6.942053033539928E7
investment,COMPLAINT,7.313294706142025,7183166.542365945
circular,COMPLAINT,8.411906994810135,2.155006865345993E7
require,REQUEST,9.146015533001146,2.8912817133667976E7
+,COMPLAINT,8.411906994810135,1.2957979915481481E8
cdm,REQUEST,8.047403244333035,9641810.034207394
cdm,COMPLAINT,8.00644188670197,2.875183582970366E7
click,COMPLAINT,8.411906994810135,8.631193300064519E7
standards,COMPLAINT,8.411906994810135,2.155006865345993E7
applies,SUGGESTION,10.976856352271671,1.4139085323415703E8
size,COMPLAINT,8.411906994810135,2.155006865345993E7
left,COMPLAINT,8.411906994810135,4.311873098134044E7
rnning,COMPLAINT,8.411906994810135,2.155006865345993E7
mrravi,COMPLAINT,8.411906994810135,2.155006865345993E7
befsct,MISCELLANEOUS,9.892842863024715,5.202312352530566E7
;,COMPLAINT,8.411906994810135,8.631193300064519E7
<,REQUEST,9.146015533001146,5.7850580615164824E7
=,MISCELLANEOUS,9.382017239258724,9.379710142778872E7
=,COMPLAINT,7.495616262935979,1.725833034207294E7
>,REQUEST,9.146015533001146,2.8912817133667976E7
@,COMPLAINT,8.411906994810135,2.155006865345993E7
telling,REQUEST,7.759721171881254,7232936.4360195715
telling,COMPLAINT,8.124224922358353,4.854326885429834E7
hang,COMPLAINT,8.411906994810135,4.311873098134044E7
spends,COMPLAINT,8.411906994810135,2.155006865345993E7
challan,REQUEST,6.101493095277722,1382859.7040984142
challan,SUGGESTION,9.878244063603562,3.3275928601084316E8
challan,COMPLAINT,7.932333914548248,1.7488760817029804E8
nagpur,COMPLAINT,8.411906994810135,4.311873098134044E7
roll,REQUEST,8.047403244333035,9641810.034207394
roll,SUGGESTION,10.571391244163507,1.8868064112574187E8
tmegnoin,REQUEST,9.146015533001146,2.8912817133667976E7
turn,SUGGESTION,9.185096883043617,2.3612024306249175E7
turn,COMPLAINT,8.22958543801618,8.997797187686263E7
ceo,REQUEST,7.066573991321309,3619633.6926573683
